"","index","m0SSRes","m0int","m1SSRes","m1int","m1Pre","m2SSRes","m2int","m2Pre","m2Group","m3SSRes","m3int","m4SSRes","m4int","m4Group","ANCr2","ANC_MS_REG","ANC_MS_RES","ANC_Fobs","ANC_Sig","RMr2","RM_MS_REG","RM_MS_RES","RM_Fobs","RM_Sig"
"6068",6068,36.5856481154478,0.332083503018238,30.1776958825968,0.382415625126648,0.323311943677913,23.847197713755,0.402381333085869,0.451563079866804,0.428334500526949,58.2483666884625,0.48776015862163,39.7524630590644,0.48776015862163,0.679998228479274,0.209774072661808,0.209774072661808,0.0213574574956268,9.82205268135317,1,0.317535146149629,0.317535146149629,0.017959601417115,17.6805230124442,1
"6069",6069,49.6595942004835,0.265470670483063,36.8318540245363,0.317829637994378,0.581415502481074,32.6493885027396,0.316576325435115,0.567498204527246,0.323643921328254,43.4806532711901,0.355524972936101,39.735210507793,0.355524972936101,0.306000112883848,0.113555660787818,0.113555660787818,0.0239579551138428,4.73978936216499,1,0.0861404436597738,0.0861404436597738,0.0240489356931638,3.58188174141362,0
"6070",6070,39.9484788614084,0.379176337910109,37.7358129117166,0.395247412019161,0.277961843638379,37.1318794094207,0.396356873843262,0.2971508568917,0.123943394737378,52.6660183199122,0.436993892646003,51.0362739202192,0.436993892646003,0.201850464434257,0.0160042531403472,0.0160042531403472,0.0265944796448555,0.601788542361764,0,0.0309448948616801,0.0309448948616801,0.0255014501352189,1.2134562818035,0
"6071",6071,27.2701039971705,0.127455210839591,22.6758754091333,0.149933728895685,0.383727665936686,18.1779063874247,0.156195174801256,0.490615941077333,0.348369125969501,34.5256944750983,0.186034562946568,25.6791665148509,0.186034562946568,0.470279915588776,0.198359222766627,0.198359222766627,0.0216659669522533,9.15533671789328,1,0.256230268347767,0.256230268347767,0.0195728876750588,13.0910815308195,1
"6072",6072,36.244646710747,0.393759648964867,24.8689287349695,0.404457070808814,0.559263462875346,23.7171789006625,0.404765051679956,0.575364767564182,0.170380374963276,31.9337964086536,0.412887345576671,30.2220246100003,0.412887345576671,0.206867820035722,0.0463128044871287,0.0463128044871287,0.025775329608456,1.7967880601587,0,0.0536037675178955,0.0536037675178955,0.024905164012687,2.15231537887441,0
"6073",6073,32.41183375949,0.144967373340078,27.5806826063953,0.220511200778765,0.374785941122114,22.6725357436151,0.232581404688816,0.43466830193625,0.354664651253416,41.025085332244,0.346532638068279,33.3954408846582,0.346532638068279,0.43673917981977,0.177955960438854,0.177955960438854,0.0222174064746256,8.00975400265991,1,0.185975102447605,0.185975102447605,0.0214217078303262,8.681618847603,1
"6074",6074,28.1013586887557,0.220681476045235,24.4873945665615,0.181549430395692,0.300895957016769,24.2848380084904,0.181950408303413,0.297812738920613,0.0712278057535446,43.9963833660862,0.090629726472004,43.9294841680503,0.090629726472004,0.0408959649708614,0.00827187055447984,0.00827187055447984,0.026803462957987,0.308612009106642,0,0.00152056130339751,0.00152056130339751,0.0262757747025422,0.0578693233828951,0
"6075",6075,58.891514072884,0.104224804130855,38.1250147118961,0.294076813675779,0.685770538974177,37.1373146921218,0.297057919973913,0.696538688743628,0.157545249874996,42.4851447969237,0.381069606809193,41.1827638762575,0.381069606809193,0.180442575399088,0.0259068757674764,0.0259068757674764,0.0263268411954736,0.984048013019146,0,0.030654971917632,0.030654971917632,0.0255090796863781,1.20172786688192,0
"6076",6076,31.9422424479946,0.266873480457293,30.2356679305395,0.334159076230484,0.236778345132313,30.2222980813468,0.333964470252975,0.23609352573259,0.0182921600425502,47.9670530587353,0.551044719746899,47.966570997577,0.551044719746899,-0.00347153121236602,0.000442187988814347,0.000442187988814347,0.0270150760003023,0.016368193404653,0,1.00498389539723e-05,1.00498389539723e-05,0.0263155250042381,0.000381897718261512,0
"6077",6077,31.2827099182845,0.243930725237471,22.8109299380943,0.290795097507942,0.412040476020642,22.7269004700351,0.291228531660773,0.41585131154459,-0.0460310030779854,40.0609564545696,0.357668027754623,39.6084561254559,0.357668027754623,-0.106360275610042,0.00368373706320787,0.00368373706320787,0.0269274665658592,0.136802214727412,0,0.0112952951991276,0.0112952951991276,0.0260185448631809,0.434124785168586,0
"6078",6078,31.4628687726962,0.526633254549981,22.7143419675753,0.412031211898025,0.487622999770241,20.1432153211301,0.405600562971526,0.514984923235531,0.254885892452001,32.373645569316,0.291611439118892,28.7066683856365,0.291611439118892,0.302777855187573,0.113193974543286,0.113193974543286,0.023967730417749,4.72276567577969,1,0.113270443263117,0.113270443263117,0.0233349883351811,4.85410327342415,1
